emp_id,date,check_in,check_out,status
E001,2026-04-30,,,Leave
E002,2026-04-30,,,Absent
E003,2026-04-30,,,Leave
E004,2026-04-30,,,Leave
E005,2026-04-30,,,Absent
E006,2026-04-30,,,Absent
E007,2026-04-30,,,Absent
E008,2026-04-30,,,Absent
E009,2026-04-30,,,Leave
E010,2026-04-30,,,Absent
E011,2026-04-30,,,Leave
E012,2026-04-30,,,Absent
E013,2026-04-30,08:35,17:30,Present
E014,2026-04-30,,,Leave
E015,2026-04-30,,,Leave
E016,2026-04-30,,,Absent
E017,2026-04-30,,,Leave
E018,2026-04-30,,,Leave
E019,2026-04-30,,,Absent
E020,2026-04-30,09:15,18:33,Present
E021,2026-04-30,,,Absent
E022,2026-04-30,,,Leave
E023,2026-04-30,,,Leave
E024,2026-04-30,08:18,17:00,Present
E025,2026-04-30,08:33,17:51,Present
E026,2026-04-30,,,Leave
E027,2026-04-30,,,Absent
E028,2026-04-30,,,Absent
E029,2026-04-30,08:21,18:43,Present
E030,2026-04-30,,,Leave
E031,2026-04-30,09:08,18:37,Present
E032,2026-04-30,08:19,17:39,Present
E033,2026-04-30,,,Absent
E034,2026-04-30,,,Leave
E035,2026-04-30,,,Leave
E036,2026-04-30,,,Leave
E037,2026-04-30,,,Absent
E038,2026-04-30,08:35,17:53,Present
E039,2026-04-30,,,Leave
E040,2026-04-30,,,Leave
E041,2026-04-30,08:37,18:35,Present
E042,2026-04-30,,,Leave
E043,2026-04-30,09:39,18:57,Present
E044,2026-04-30,,,Absent
E045,2026-04-30,,,Leave
E046,2026-04-30,,,Leave
E047,2026-04-30,08:37,17:44,Present
E048,2026-04-30,,,Leave
E049,2026-04-30,09:41,18:52,Present
E050,2026-04-30,,,Leave
E051,2026-04-30,,,Leave
E052,2026-04-30,,,Absent
E053,2026-04-30,,,Leave
E054,2026-04-30,09:19,17:12,Present
E055,2026-04-30,09:52,18:08,Present
E056,2026-04-30,08:08,17:43,Present
E057,2026-04-30,,,Leave
E058,2026-04-30,08:38,18:23,Present
E059,2026-04-30,,,Leave
E060,2026-04-30,09:48,18:50,Present
E061,2026-04-30,,,Leave
E062,2026-04-30,,,Leave
E063,2026-04-30,,,Absent
E064,2026-04-30,,,Leave
E065,2026-04-30,,,Absent
E066,2026-04-30,09:31,17:24,Present
E067,2026-04-30,08:06,18:40,Present
E068,2026-04-30,,,Leave
E069,2026-04-30,,,Leave
E070,2026-04-30,08:47,18:55,Present
E071,2026-04-30,08:13,17:43,Present
E072,2026-04-30,,,Absent
E073,2026-04-30,,,Absent
E074,2026-04-30,,,Absent
E075,2026-04-30,,,Absent
E076,2026-04-30,,,Absent
E077,2026-04-30,,,Leave
E078,2026-04-30,09:24,17:39,Present
E079,2026-04-30,08:21,18:25,Present
E080,2026-04-30,,,Leave
E081,2026-04-30,,,Absent
E082,2026-04-30,,,Absent
E083,2026-04-30,09:17,18:53,Present
E084,2026-04-30,,,Leave
E085,2026-04-30,,,Absent
E086,2026-04-30,,,Leave
E087,2026-04-30,,,Absent
E088,2026-04-30,09:49,17:32,Present
E089,2026-04-30,08:44,17:37,Present
E090,2026-04-30,,,Leave
E091,2026-04-30,,,Leave
E092,2026-04-30,09:55,18:09,Present
E093,2026-04-30,,,Absent
E094,2026-04-30,,,Leave
E095,2026-04-30,,,Absent
E096,2026-04-30,,,Leave
E097,2026-04-30,,,Leave
E098,2026-04-30,,,Absent
E099,2026-04-30,08:40,17:24,Present
E100,2026-04-30,,,Leave
